route_name,uri,http_methods,controller_class,controller_method,middleware_resolved,active_backoffice_present,mfa_backoffice_present,log_backoffice_present,role_middleware_active,role_middleware_excluded,permission_middleware,permission_catalog_exists,semantic_permission_available,permission_recommendation,permission_semantically_adequate,policy_class,policy_ability,policy_ability_source,form_request,form_request_authorize,feature_entitlement,feature_required,feature_key,municipality_source,municipal_record_scope,fail_closed_without_municipality,platform_route,municipal_route,mixed_context_route,record_model,operation_type,mfa_sensitive,audit_requirement,audit_implementation,private_data,bounded_context,bounded_context_label,target_sprint,risk,confidence,test_coverage,test_sources,source,migration_recommendation
documents.create,documents/create,GET,"App\Http\Controllers\DocumentController",create,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,documents.create,0,"App\Policies\DocumentPolicy",create,inferred,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\Document",read,1,recommended,unknown,1,documents,Documentos,47B,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:documents.create;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
documents.destroy,documents/{document},DELETE,"App\Http\Controllers\DocumentController",destroy,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,documents.delete,0,"App\Policies\DocumentPolicy",delete,inferred,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\Document",mutation,1,required,missing,1,documents,Documentos,47B,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:documents.delete;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
documents.edit,documents/{document}/edit,GET,"App\Http\Controllers\DocumentController",edit,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,documents.update,0,"App\Policies\DocumentPolicy",update,inferred,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\Document",read,1,recommended,unknown,1,documents,Documentos,47B,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:documents.update;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
documents.index,documents,GET,"App\Http\Controllers\DocumentController",index,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,documents.view,0,"App\Policies\DocumentPolicy",viewAny,inferred,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\Document",read,1,recommended,unknown,1,documents,Documentos,47B,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:documents.view;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
documents.show,documents/{document},GET,"App\Http\Controllers\DocumentController",show,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,documents.view,0,"App\Policies\DocumentPolicy",view,inferred,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\Document",read,1,recommended,unknown,1,documents,Documentos,47B,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:documents.view;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
documents.store,documents,POST,"App\Http\Controllers\DocumentController",store,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,documents.create,0,"App\Policies\DocumentPolicy",create,inferred,"App\Http\Requests\StoreDocumentRequest",always_true,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\Document",mutation,1,required,missing,1,documents,Documentos,47B,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:documents.create;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
documents.update,documents/{document},PUT|PATCH,"App\Http\Controllers\DocumentController",update,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,documents.update,0,"App\Policies\DocumentPolicy",update,inferred,"App\Http\Requests\UpdateDocumentRequest",always_true,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\Document",mutation,1,required,missing,1,documents,Documentos,47B,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:documents.update;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.administrative-decisions.approve,backoffice/administrative-decisions/{administrativeDecision}/approve,POST,"App\Http\Controllers\Backoffice\AdministrativeDecisionController",approve,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,administrative_processes.approve,0,"App\Policies\AdministrativeDecisionPolicy",approve,confirmed,"App\Http\Requests\ApproveAdministrativeDecisionRequest",always_true,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\AdministrativeDecision",mutation,1,required,confirmed,1,decisions,Decisões,47C,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:administrative_processes.approve;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.administrative-decisions.cancel,backoffice/administrative-decisions/{administrativeDecision}/cancel,POST,"App\Http\Controllers\Backoffice\AdministrativeDecisionController",cancel,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\AdministrativeDecisionPolicy",approve,confirmed,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\AdministrativeDecision",mutation,1,required,confirmed,1,decisions,Decisões,47C,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.administrative-decisions.create-admission,backoffice/administrative-processes/{administrativeProcess}/decisions/create-admission,GET,"App\Http\Controllers\Backoffice\AdministrativeDecisionController",createAdmission,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,administrative_processes.create,0,"App\Policies\AdministrativeProcessPolicy",create,confirmed,,none,,0,,authenticated_user_and_route_bound_record,confirmed,1,0,1,0,"App\Models\AdministrativeProcess",read,1,recommended,confirmed,1,decisions,Decisões,47C,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:administrative_processes.create;preserve_active_mfa_log;add_http_security_tests
backoffice.administrative-decisions.create-non-admission,backoffice/administrative-processes/{administrativeProcess}/decisions/create-non-admission,GET,"App\Http\Controllers\Backoffice\AdministrativeDecisionController",createNonAdmission,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,administrative_processes.create,0,"App\Policies\AdministrativeProcessPolicy",create,confirmed,,none,,0,,authenticated_user_and_route_bound_record,confirmed,1,0,1,0,"App\Models\AdministrativeProcess",read,1,recommended,confirmed,1,decisions,Decisões,47C,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:administrative_processes.create;preserve_active_mfa_log;add_http_security_tests
backoffice.administrative-decisions.show,backoffice/administrative-decisions/{administrativeDecision},GET,"App\Http\Controllers\Backoffice\AdministrativeDecisionController",show,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,administrative_processes.view,0,"App\Policies\AdministrativeDecisionPolicy",view,confirmed,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\AdministrativeDecision",read,1,recommended,confirmed,1,decisions,Decisões,47C,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:administrative_processes.view;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.administrative-decisions.store-admission,backoffice/administrative-processes/{administrativeProcess}/decisions/admission,POST,"App\Http\Controllers\Backoffice\AdministrativeDecisionController",storeAdmission,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,administrative_processes.create,0,"App\Policies\AdministrativeProcessPolicy",create,confirmed,"App\Http\Requests\StoreAdministrativeDecisionRequest",always_true,,0,,authenticated_user_and_route_bound_record,confirmed,1,0,1,0,"App\Models\AdministrativeProcess",mutation,1,required,confirmed,1,decisions,Decisões,47C,critical,high,route_name_reference,tests/Feature/Sprint9AdministrativeWorkflowTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery|permission_catalog|existing_test_route_reference,remove_fixed_role;apply_permission:administrative_processes.create;preserve_active_mfa_log;add_http_security_tests
backoffice.administrative-decisions.store-non-admission,backoffice/administrative-processes/{administrativeProcess}/decisions/non-admission,POST,"App\Http\Controllers\Backoffice\AdministrativeDecisionController",storeNonAdmission,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,administrative_processes.create,0,"App\Policies\AdministrativeProcessPolicy",create,confirmed,"App\Http\Requests\StoreAdministrativeDecisionRequest",always_true,,0,,authenticated_user_and_route_bound_record,confirmed,1,0,1,0,"App\Models\AdministrativeProcess",mutation,1,required,confirmed,1,decisions,Decisões,47C,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:administrative_processes.create;preserve_active_mfa_log;add_http_security_tests
backoffice.complaint-decisions.approve,backoffice/complaint-decisions/{complaintDecision}/approve,POST,"App\Http\Controllers\Backoffice\ComplaintDecisionController",approve,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,administrative_processes.approve,0,"App\Policies\ComplaintDecisionPolicy",approve,confirmed,"App\Http\Requests\ApproveComplaintDecisionRequest",always_true,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\ComplaintDecision",mutation,1,required,confirmed,1,decisions,Decisões,47C,critical,high,route_name_reference,tests/Feature/Sprint11ListsComplaintsHearingTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery|permission_catalog|existing_test_route_reference,remove_fixed_role;apply_permission:administrative_processes.approve;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.complaint-decisions.cancel,backoffice/complaint-decisions/{complaintDecision}/cancel,POST,"App\Http\Controllers\Backoffice\ComplaintDecisionController",cancel,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\ComplaintDecisionPolicy",approve,confirmed,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\ComplaintDecision",mutation,1,required,confirmed,1,decisions,Decisões,47C,critical,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.complaint-decisions.create,backoffice/complaints/{complaint}/decisions/create,GET,"App\Http\Controllers\Backoffice\ComplaintDecisionController",create,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,administrative_processes.create,0,"App\Policies\ComplaintPolicy",create,confirmed,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\Complaint",read,1,recommended,confirmed,1,decisions,Decisões,47C,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:administrative_processes.create;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.complaint-decisions.show,backoffice/complaint-decisions/{complaintDecision},GET,"App\Http\Controllers\Backoffice\ComplaintDecisionController",show,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,administrative_processes.view,0,"App\Policies\ComplaintDecisionPolicy",view,confirmed,,none,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\ComplaintDecision",read,1,recommended,confirmed,1,decisions,Decisões,47C,critical,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:administrative_processes.view;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.complaint-decisions.store,backoffice/complaints/{complaint}/decisions,POST,"App\Http\Controllers\Backoffice\ComplaintDecisionController",store,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,administrative_processes.create,0,"App\Policies\ComplaintPolicy",create,confirmed,"App\Http\Requests\StoreComplaintDecisionRequest",always_true,,0,,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\Complaint",mutation,1,required,confirmed,1,decisions,Decisões,47C,critical,high,route_name_reference,tests/Feature/Sprint11ListsComplaintsHearingTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery|permission_catalog|existing_test_route_reference,remove_fixed_role;apply_permission:administrative_processes.create;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.criteria.activate,backoffice/eligibility/criteria/{eligibilityCriterion}/activate,POST,"App\Http\Controllers\Backoffice\EligibilityCriterionController",activate,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\EligibilityCriterionPolicy",activate,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityCriterion",mutation,1,required,confirmed,1,eligibility,Elegibilidade,47C,high,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.criteria.create,backoffice/eligibility/rule-sets/{eligibilityRuleSet}/criteria/create,GET,"App\Http\Controllers\Backoffice\EligibilityCriterionController",create,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.create,0,"App\Policies\EligibilityRuleSetPolicy",create,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",read,0,recommended,confirmed,1,eligibility,Elegibilidade,47C,high,high,route_name_reference,tests/Feature/Sprint7EligibilityEngineTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog|existing_test_route_reference,remove_fixed_role;apply_permission:eligibility.create;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.criteria.edit,backoffice/eligibility/criteria/{eligibilityCriterion}/edit,GET,"App\Http\Controllers\Backoffice\EligibilityCriterionController",edit,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.update,0,"App\Policies\EligibilityCriterionPolicy",update,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityCriterion",read,0,recommended,confirmed,1,eligibility,Elegibilidade,47C,high,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:eligibility.update;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.criteria.inactivate,backoffice/eligibility/criteria/{eligibilityCriterion}/inactivate,POST,"App\Http\Controllers\Backoffice\EligibilityCriterionController",inactivate,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\EligibilityCriterionPolicy",activate,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityCriterion",mutation,1,required,confirmed,1,eligibility,Elegibilidade,47C,high,low,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.criteria.index,backoffice/eligibility/rule-sets/{eligibilityRuleSet}/criteria,GET,"App\Http\Controllers\Backoffice\EligibilityCriterionController",index,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.view,0,"App\Policies\EligibilityRuleSetPolicy",view,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",read,0,recommended,confirmed,1,eligibility,Elegibilidade,47C,high,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:eligibility.view;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.criteria.store,backoffice/eligibility/rule-sets/{eligibilityRuleSet}/criteria,POST,"App\Http\Controllers\Backoffice\EligibilityCriterionController",store,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.create,0,"App\Policies\EligibilityRuleSetPolicy",create,confirmed,"App\Http\Requests\StoreEligibilityCriterionRequest",always_false,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",mutation,1,required,confirmed,1,eligibility,Elegibilidade,47C,high,high,route_name_reference,tests/Feature/Sprint7EligibilityEngineTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery|permission_catalog|existing_test_route_reference,remove_fixed_role;apply_permission:eligibility.create;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.criteria.update,backoffice/eligibility/criteria/{eligibilityCriterion},PUT|PATCH,"App\Http\Controllers\Backoffice\EligibilityCriterionController",update,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.update,0,"App\Policies\EligibilityCriterionPolicy",update,confirmed,"App\Http\Requests\UpdateEligibilityCriterionRequest",gate_or_policy,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityCriterion",mutation,1,required,confirmed,1,eligibility,Elegibilidade,47C,high,high,route_name_reference,tests/Feature/Sprint7EligibilityEngineTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery|permission_catalog|existing_test_route_reference,remove_fixed_role;apply_permission:eligibility.update;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.rule-sets.activate,backoffice/eligibility/rule-sets/{eligibilityRuleSet}/activate,POST,"App\Http\Controllers\Backoffice\EligibilityRuleSetController",activate,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,0,0,,0,"App\Policies\EligibilityRuleSetPolicy",activate,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",mutation,1,required,confirmed,1,eligibility,Elegibilidade,47C,high,low,route_name_reference,tests/Feature/Sprint7EligibilityEngineTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|existing_test_route_reference,remove_fixed_role;define_semantic_permission;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.rule-sets.archive,backoffice/eligibility/rule-sets/{eligibilityRuleSet}/archive,POST,"App\Http\Controllers\Backoffice\EligibilityRuleSetController",archive,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.update,0,"App\Policies\EligibilityRuleSetPolicy",archive,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",mutation,1,required,confirmed,1,eligibility,Elegibilidade,47C,high,high,route_name_reference,tests/Feature/Sprint7EligibilityEngineTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog|existing_test_route_reference,remove_fixed_role;apply_permission:eligibility.update;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.rule-sets.create,backoffice/eligibility/rule-sets/create,GET,"App\Http\Controllers\Backoffice\EligibilityRuleSetController",create,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.create,0,"App\Policies\EligibilityRuleSetPolicy",create,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",read,0,recommended,confirmed,1,eligibility,Elegibilidade,47C,high,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:eligibility.create;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.rule-sets.duplicate,backoffice/eligibility/rule-sets/{eligibilityRuleSet}/duplicate,POST,"App\Http\Controllers\Backoffice\EligibilityRuleSetController",duplicate,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.create,0,"App\Policies\EligibilityRuleSetPolicy",duplicate,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",mutation,1,required,confirmed,1,eligibility,Elegibilidade,47C,high,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:eligibility.create;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.rule-sets.edit,backoffice/eligibility/rule-sets/{eligibilityRuleSet}/edit,GET,"App\Http\Controllers\Backoffice\EligibilityRuleSetController",edit,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.update,0,"App\Policies\EligibilityRuleSetPolicy",update,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",read,0,recommended,confirmed,1,eligibility,Elegibilidade,47C,high,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:eligibility.update;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.rule-sets.index,backoffice/eligibility/rule-sets,GET,"App\Http\Controllers\Backoffice\EligibilityRuleSetController",index,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.view,0,"App\Policies\EligibilityRuleSetPolicy",viewAny,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",read,0,recommended,confirmed,1,eligibility,Elegibilidade,47C,high,high,route_name_reference,tests/Feature/Sprint7EligibilityEngineTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog|existing_test_route_reference,remove_fixed_role;apply_permission:eligibility.view;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.rule-sets.show,backoffice/eligibility/rule-sets/{eligibilityRuleSet},GET,"App\Http\Controllers\Backoffice\EligibilityRuleSetController",show,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.view,0,"App\Policies\EligibilityRuleSetPolicy",view,confirmed,,none,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",read,0,recommended,confirmed,1,eligibility,Elegibilidade,47C,high,high,not_detected,,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|policy_discovery|permission_catalog,remove_fixed_role;apply_permission:eligibility.view;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
backoffice.eligibility.rule-sets.store,backoffice/eligibility/rule-sets,POST,"App\Http\Controllers\Backoffice\EligibilityRuleSetController",store,"web|auth|role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",0,0,0,"role:administrator,municipal_technician,jury,financial_manager,maintenance_manager,auditor",,,1,1,eligibility.create,0,"App\Policies\EligibilityRuleSetPolicy",create,confirmed,"App\Http\Requests\StoreEligibilityRuleSetRequest",gate_or_policy,,1,applications.review,authenticated_user_and_route_bound_record,missing,0,0,1,0,"App\Models\EligibilityRuleSet",mutation,1,required,confirmed,1,eligibility,Elegibilidade,47C,high,high,route_name_reference,tests/Feature/Sprint7EligibilityEngineTest.php,laravel_route_collection|resolved_middleware|controller_reflection|controller_source|form_request_reflection|policy_discovery|permission_catalog|existing_test_route_reference,remove_fixed_role;apply_permission:eligibility.create;enforce_municipal_scope;preserve_active_mfa_log;add_http_security_tests
